         ,Gross claims incurred 2016 (£m) ,Gross claims incurred 2017 (£m) ,Gross claims incurred 2018 (£m) ,Gross claims incurred 2019 (£m) ,Gross claims incurred 2020 (£m) ,"Gross BEL (inc. TPs as whole, pre-TMTP) 2016 (£m)" ,"Gross BEL (inc. TPs as whole, pre-TMTP) 2017 (£m)" ,"Gross BEL (inc. TPs as whole, pre-TMTP) 2018 (£m)" ,"Gross BEL (inc. TPs as whole, pre-TMTP) 2019 (£m)" ,"Gross BEL (inc. TPs as whole, pre-TMTP) 2020 (£m)" ,"Net BEL (inc. TPs as a whole, pre-TMTP) 2016 (£m)" ,"Net BEL (inc. TPs as a whole, pre-TMTP) 2017 (£m)" ,"Net BEL (inc. TPs as a whole, pre-TMTP) 2018 (£m)" ,"Net BEL (inc. TPs as a whole, pre-TMTP) 2019 (£m)" ,"Net BEL (inc. TPs as a whole, pre-TMTP) 2020 (£m)" ,Pure net claims ratio 2016 ,Pure net claims ratio 2017 ,Pure net claims ratio 2018 ,Pure net claims ratio 2019 ,Pure net claims ratio 2020 ,Net expense ratio 2016 ,Net expense ratio 2017 ,Net expense ratio 2018 ,Net expense ratio 2019 ,Net expense ratio 2020 ,Net combined ratio 2016 ,Net combined ratio 2017 ,Net combined ratio 2018 ,Net combined ratio 2019 ,Net combined ratio 2020 ,Pure gross claims ratio 2016 ,Pure gross claims ratio 2017 ,Pure gross claims ratio 2018 ,Pure gross claims ratio 2019 ,Pure gross claims ratio 2020 ,Gross expense ratio 2016 ,Gross expense ratio 2017 ,Gross expense ratio 2018 ,Gross expense ratio 2019 ,Gross expense ratio 2020 ,Gross combined ratio 2016 ,Gross combined ratio 2017 ,Gross combined ratio 2018 ,Gross combined ratio 2019 ,Gross combined ratio 2020
Firm 1   ,0                               ,0.04667392158                   ,0                               ,0                               ,0                               ,0                                                   ,7.674468412                                         ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,7.674468412                                         ,0                                                   ,0                                                   ,0                                                   ,0                          ,11.40151395                ,0                          ,0                          ,0                          ,0                      ,56.81372458            ,0                      ,0                      ,0                      ,0                       ,68.21523853             ,0                       ,0                       ,0                       ,0                            ,11.40151395                  ,0                            ,0                            ,0                            ,0                        ,56.81372458              ,0                        ,0                        ,0                        ,0                         ,68.21523853               ,0                         ,0                         ,0
Firm 2   ,39.24106662                     ,35.9482489                      ,29.00224403                     ,0                               ,0                               ,163.5979066                                         ,195.5299333                                         ,201.5330184                                         ,0                                                   ,0                                                   ,162.9523685                                         ,182.7391171                                         ,188.5959808                                         ,0                                                   ,0                                                   ,0.1942645887               ,0.1593130412               ,0.1224612629               ,0                          ,0                          ,0.7610276224           ,0.9976307388           ,0.8211590846           ,0                      ,0                      ,0.9552922111            ,1.15694378              ,0.9436203475            ,0                       ,0                       ,0.2021282089                 ,0.163293069                  ,0.1246082229                 ,0                            ,0                            ,0.7432654883             ,0.963450519              ,0.8145884735             ,0                        ,0                        ,0.9453936972              ,1.126743588               ,0.9391966963              ,0                         ,0
Firm 3   ,0                               ,0                               ,0                               ,0                               ,0                               ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                          ,0                          ,0                          ,0                          ,0                          ,0                      ,0                      ,0                      ,0                      ,0                      ,0                       ,0                       ,0                       ,0                       ,0                       ,0                            ,0                            ,0                            ,0                            ,0                            ,0                        ,0                        ,0                        ,0                        ,0                        ,0                         ,0                         ,0                         ,0                         ,0
Firm 4   ,17.12597573                     ,75.53595118                     ,119.4269952                     ,35.88420397                     ,6.567987821                     ,-18.29709911                                        ,22.64014465                                         ,80.38378315                                         ,99.56912898                                         ,43.57226096                                         ,-8.078497706                                        ,28.17034633                                         ,78.4911911                                          ,92.38428439                                         ,55.42478165                                         ,0.8797682743               ,1.49351938                 ,1.956766744                ,2.350905773                ,-3.197190562               ,0.200440721            ,0.2137718811           ,0.1622741691           ,0.2353507281           ,-0.2112793958          ,1.080208995             ,1.707291261             ,2.119040913             ,2.586256501             ,-3.408469957            ,0.7041018258                 ,1.327258994                  ,1.634996996                  ,1.154041988                  ,-10.18984647                 ,0.1439301409             ,0.147519022              ,0.09297064406            ,0.05478095731            ,-0.5462372937            ,0.8480319667              ,1.474778016               ,1.72796764                ,1.208822946               ,-10.73608376
Firm 5   ,30.48518529                     ,247.8729694                     ,449.87474                       ,348.5363366                     ,373.7868317                     ,20.80045248                                         ,128.2289625                                         ,349.4107568                                         ,314.0696489                                         ,409.1617874                                         ,37.2504824                                          ,195.9663689                                         ,395.8379268                                         ,431.5497561                                         ,389.3453949                                         ,0.4791514859               ,1.382640462                ,1.352745549                ,1.186952808                ,0.9809874823               ,0.2768443574           ,0.1867035078           ,0.1693972649           ,0.1220831456           ,0.08111413216          ,0.7559958434            ,1.56934397              ,1.522142814             ,1.309035954             ,1.062101615             ,0.3314988691                 ,1.125144033                  ,1.195094127                  ,0.8622329327                 ,0.8879971516                 ,0.1772122889             ,0.134309512              ,0.1090739044             ,0.1210443182             ,0.1091865819             ,0.5087111579              ,1.259453545               ,1.304168031               ,0.983277251               ,0.9971837335
Firm 6   ,411.2420799                     ,236.0741275                     ,247.9836284                     ,187.6159947                     ,178.3231984                     ,716.5751658                                         ,706.0871943                                         ,620.4358932                                         ,586.1815377                                         ,562.1873584                                         ,590.1090954                                         ,558.4484843                                         ,459.0173122                                         ,422.0843682                                         ,360.0143458                                         ,0.8330603838               ,0.6753157199               ,0.6570521348               ,0.6523708595               ,0.6026047078               ,0.2515083729           ,0.2598664846           ,0.2694541501           ,0.2521315497           ,0.2329205378           ,1.084568757             ,0.9351822045            ,0.9265062849            ,0.9045024091            ,0.8355252455            ,1.025537336                  ,0.5972148829                 ,0.6899909735                 ,0.5707862279                 ,0.5967439223                 ,0.2366622343             ,0.2428631605             ,0.2329530455             ,0.1984267765             ,0.155372107              ,1.26219957                ,0.8400780434              ,0.922944019               ,0.7692130044              ,0.7521160293
Firm 7   ,0                               ,0                               ,0                               ,0                               ,0                               ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                          ,0                          ,0                          ,0                          ,0                          ,0                      ,0                      ,0                      ,0                      ,0                      ,0                       ,0                       ,0                       ,0                       ,0                       ,0                            ,0                            ,0                            ,0                            ,0                            ,0                        ,0                        ,0                        ,0                        ,0                        ,0                         ,0                         ,0                         ,0                         ,0
Firm 8   ,0.08225002683                   ,-0.0662620059                   ,-0.1128810028                   ,0                               ,0                               ,1.257909501                                         ,1.006574376                                         ,0.9286529638                                        ,0.7842787846                                        ,0.4340079394                                        ,1.05017033                                          ,0.8579248345                                        ,0.8295095164                                        ,0.723661944                                         ,0.4095129439                                        ,0.2154022902               ,-0.08474762049             ,-1.49847841                ,0.02802568082              ,0                          ,0.8734643237           ,0.7699446538           ,0.3854464399           ,0.8595991054           ,0                      ,1.088866614             ,0.6851970333            ,-1.11303197             ,0.8876247862            ,0                       ,0.1563381428                 ,-0.1512560235                ,-0.3153612523                ,0                            ,0                            ,0.6245000463             ,0.5734135363             ,0.307895794              ,0.7849929135             ,0                        ,0.7808381892              ,0.4221575128              ,-0.007465458298           ,0.7849929135              ,0
Firm 9   ,119.612357                      ,160.9501935                     ,184.207063                      ,104.973286                      ,0                               ,462.2194717                                         ,542.6085773                                         ,614.8572525                                         ,369.5410896                                         ,0                                                   ,419.6211303                                         ,473.3995091                                         ,536.126768                                          ,329.7041378                                         ,0                                                   ,0.5394128215               ,0.5982524094               ,0.6215456194               ,0.6921982634               ,0                          ,0.4138235593           ,0.410382113            ,0.4160218922           ,0.404548543            ,0                      ,0.9532363808            ,1.008634522             ,1.037567512             ,1.096746806             ,0                       ,0.5040429797                 ,0.6071778967                 ,0.622105864                  ,0.5729997688                 ,0                            ,0.3741741804             ,0.3650234684             ,0.3577089482             ,0.3179920312             ,0                        ,0.8782171602              ,0.9722013652              ,0.9798148122              ,0.8909918                 ,0
Firm 10  ,51.14637354                     ,90.59326314                     ,84.85097352                     ,76.88679125                     ,106.3731701                     ,53.4277206                                          ,84.40055121                                         ,102.2584374                                         ,122.6781413                                         ,141.1955913                                         ,54.68585667                                         ,73.515575                                           ,86.87660468                                         ,107.9829054                                         ,129.2231273                                         ,0.6879819297               ,0.7922210483               ,0.6091101328               ,0.6165058553               ,0.6173675969               ,0.4137284435           ,0.4475710245           ,0.3665666865           ,0.3804095478           ,0.3279905553           ,1.101710373             ,1.239792073             ,0.9756768193            ,0.996915403             ,0.9453581522            ,0.6656296191                 ,0.9647589841                 ,0.7105409744                 ,0.6134879927                 ,0.6709282414                 ,0.3619153359             ,0.3500437531             ,0.302982792              ,0.2868211009             ,0.2514195729             ,1.027544955               ,1.314802737               ,1.013523766               ,0.9003090935              ,0.9223478143
