,NWP (£m) ,NWP (£m) ,NWP (£m) ,NWP (£m) ,NWP (£m) ,SCR (£m),SCR (£m),SCR (£m),SCR (£m),SCR (£m),EoF for SCR (£m),EoF for SCR (£m),EoF for SCR (£m),EoF for SCR (£m),EoF for SCR (£m),SCR coverage ratio,SCR coverage ratio,SCR coverage ratio,SCR coverage ratio,SCR coverage ratio,GWP (£m),GWP (£m),GWP (£m),GWP (£m),GWP (£m),Total assets (£m),Total assets (£m),Total assets (£m),Total assets (£m),Total assets (£m),Total liabilities (£m),Total liabilities (£m),Total liabilities (£m),Total liabilities (£m),Total liabilities (£m),Excess of assets over liabilities (£m) [= equity],Excess of assets over liabilities (£m) [= equity],Excess of assets over liabilities (£m) [= equity],Excess of assets over liabilities (£m) [= equity],Excess of assets over liabilities (£m) [= equity]
,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE
Firm 23,1446.182302,2165.950865,1303.723258,2561.719636,1892.31951,9.618031433,9.768688901,8.104204859,8.756916436,6.846172244,36.97223613,38.54641119,25.79336415,25.06641017,24.90821536,3.704069324,3.802220078,3.066812036,2.758230246,3.505777672,1446.182302,2165.950865,1303.723258,2561.719636,1892.31951,9901.3955,10232.13105,8534.684735,9494.786345,9418.619511,9864.423263,10193.58464,8508.891371,9469.719935,9393.711295,36.97223613,38.54641119,25.79336415,25.06641017,24.90821536
Firm 24,0,698.5290257,629.1321906,0,0,10.10446363,8.898331308,8.017458224,0,0,26.94187435,29.72905833,25.17983696,0,0,2.569236725,3.219305278,3.026256868,0,0,0,698.5290257,629.1321906,0,0,10592.93972,9281.201715,1413.626282,0,0,10565.99784,9251.472657,1388.446445,0,0,26.94187435,29.72905833,25.17983696,0,0
Firm 25,5077.284188,2984.648903,5856.244808,3959.706386,4914.195759,6.235738262,6.346756221,5.771450895,4.245324235,4.546745471,13.46529137,14.19862953,14.35457949,14.97039208,15.28039004,2.080738282,2.155679494,2.396597211,3.397910143,3.238346956,5077.284188,2984.648903,5856.244808,3959.706386,4914.195759,35801.1113,35944.34954,28904.43288,32020.18485,32226.17362,35787.646,35930.15091,28890.0783,32005.21445,32210.89323,13.46529137,14.19862953,14.35457949,14.97039208,15.28039004
Firm 26,45309.8387,7239.360829,7616.755563,10450.17555,10489.24808,2459.214889,2615.457124,2647.668242,2719.948271,2369.903562,3799.280701,3707.503601,4168.182459,4678.537315,4014.950482,1.488656445,1.36591463,1.516955132,1.657444646,1.632447036,45309.81976,7239.360829,7616.755563,10450.17555,10489.24808,48893.48046,53716.25706,52868.42905,60594.71017,66455.36686,45094.19976,50008.75346,48700.24659,55916.17285,62440.41637,3799.280701,3707.503601,4168.182459,4678.537315,4014.950482
Firm 27,0.008825217059,0.001305224827,0,0,0,13.01099836,1.594839219,0,0,0,31.31699065,11.56145314,0,0,0,2.319310962,6.985300545,0,0,0,0.008825217059,0.001305224827,0,0,0,66.79747403,11.56145314,0,0,0,35.48048337,0,0,0,0,31.31699065,11.56145314,0,0,0
Firm 28,21.0898249,10.82758789,9.55524365,28.31218539,53.12333149,455.6386865,316.0226271,245.2792398,193.9666706,178.8017396,935.144479,951.1377488,654.9376164,717.1554137,245.6574675,1.977642119,2.900112327,2.572934459,3.562671257,1.323877529,21.69025647,10.66133339,6.786709939,28.40928432,53.0965092,1594.912526,1475.603699,1069.541826,1056.660895,633.8633652,655.4287026,521.585073,413.1476702,338.1906298,307.9169689,939.4838238,954.0186264,656.3941556,718.4702649,325.9463963
Firm 29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firm 30,2480.383308,3530.005739,6861.810012,6875.660753,4944.576605,1842.616448,2006.22813,2257.637446,2846.787579,4105.895927,3020.022785,3206.624616,3774.602667,4667.520085,6465.461127,1.579300803,1.540130022,1.61104111,1.579867675,1.517333855,2503.108226,3568.845446,6890.023129,6924.05782,5442.876586,33984.21009,35306.04393,41331.60806,55581.34146,71582.29582,31536.78895,32666.87427,38464.88429,51829.93037,66747.36943,2447.421141,2639.169662,2866.72377,3751.411095,4834.926396
Firm 31,0.0008090565392,0,0,0,0,0.9143380671,0.3367315968,0,0,0,3.843024873,3.796416827,0,0,0,4.050008866,10.86374592,0,0,0,-0.005360293393,0,0,0,0,6.276749208,3.796416827,0,0,0,2.433724336,0,0,0,0,3.843024873,3.796416827,0,0,0
Firm 32,300.9337023,318.6583347,335.9881706,0,0,394.941645,410.6245522,383.895587,0,0,512.6196848,482.2787153,540.1967054,0,0,1.250696483,1.131729827,1.355902281,0,0,341.8061807,368.3356717,386.2301217,0,0,1579.167045,1666.87892,1715.447408,0,0,1057.045893,1110.005302,1265.547805,0,0,522.1211523,556.8736183,449.8996032,0,0
